FilmID;FilmName;FilmReleaseDate;FilmOscarWins
112;The Long Kiss Goodnight;1996-11-29 00:00:00.000;0
113;Apollo 13;1995-09-22 00:00:00.000;2
114;Saving Private Ryan;1998-09-11 00:00:00.000;5
115;Fight Club;1999-11-12 00:00:00.000;0
116;The Matrix;1999-06-11 00:00:00.000;4
117;Total Recall;1990-07-27 00:00:00.000;0
118;Cliffhanger;1993-06-25 00:00:00.000;0
119;Clear and Present Danger;1994-08-03 00:00:00.000;0
120;GoldenEye;1995-11-24 00:00:00.000;0
121;The Black Dahlia;2006-09-15 00:00:00.000;0
122;The Truman Show;1998-10-09 00:00:00.000;0
123;Event Horizon;1997-08-22 00:00:00.000;0
124;The Bourne Identity;2002-09-06 00:00:00.000;0
125;Hellboy;2004-09-02 00:00:00.000;0
126;Starsky & Hutch;2004-03-19 00:00:00.000;0
127;Intolerable Cruelty;2003-10-24 00:00:00.000;0
128;300;2007-03-23 00:00:00.000;0
129;Star Trek: Nemesis;2003-01-03 00:00:00.000;0
130;Superman;1978-12-21 00:00:00.000;0
131;Crimson Tide;1995-11-03 00:00:00.000;0
132;Deja Vu;2006-12-15 00:00:00.000;0
133;Man On Fire;2004-10-08 00:00:00.000;0
134;Enemy of the State;1998-12-26 00:00:00.000;0
135;Kill Bill: Vol. 1;2003-10-17 00:00:00.000;0
136;Alien 3;1992-08-21 00:00:00.000;0
137;Shanghai Noon;2000-08-25 00:00:00.000;0
138;Kill Bill: Vol. 2;2004-04-23 00:00:00.000;0
139;Blade II;2002-03-29 00:00:00.000;0
140;Flags of our Fathers;2006-12-22 00:00:00.000;0
141;Casino;1996-02-23 00:00:00.000;0
142;Robin Hood: Prince of Thieves;1991-07-19 00:00:00.000;0
143;Shrek;2001-06-29 00:00:00.000;1
144;Shanghai Knights;2003-04-04 00:00:00.000;0
145;Indiana Jones and the Last Crusade;1989-06-30 00:00:00.000;1
146;Star Trek: First Contact;1996-12-13 00:00:00.000;0
147;Blade;1998-11-13 00:00:00.000;0
148;Patriot Games;1992-09-25 00:00:00.000;0
149;The Fugitive;1993-09-24 00:00:00.000;1
150;The Prestige;2006-11-10 00:00:00.000;0
151;The Last of the Mohicans;1992-11-06 00:00:00.000;1
152;Apocalypto;2007-01-05 00:00:00.000;0
153;Wedding Crashers;2005-07-14 00:00:00.000;0
154;Back to the Future Part III;1990-07-11 00:00:00.000;0
155;Back to the Future Part II;1989-11-24 00:00:00.000;0
156;Licence to Kill;1989-07-14 00:00:00.000;0
157;The Living Daylights;1987-06-30 00:00:00.000;0
158;Sin City;2005-06-03 00:00:00.000;0
159;Serenity;2005-10-07 00:00:00.000;0
160;Star Trek: Generations;1994-11-18 00:00:00.000;0
161;Never Say Never Again;1983-12-15 00:00:00.000;0
162;Star Trek: The Motion Picture;1979-12-20 00:00:00.000;0
163;Rush Hour;1998-12-04 00:00:00.000;0
164;Lethal Weapon 3;1992-08-14 00:00:00.000;0
165;Star Wars: Episode IV - Return of the Jedi;1983-05-25 00:00:00.000;0
166;A History of Violence;2005-09-30 00:00:00.000;0
167;Moonraker;1979-06-29 00:00:00.000;0
168;Get Shorty;1996-03-15 00:00:00.000;0
169;The Assassination of Jesse James by the Coward Robert Ford;2007-11-30 00:00:00.000;0
170;Million Dollar Baby;2005-01-14 00:00:00.000;4
171;Se7en;1996-01-05 00:00:00.000;0
172;The Hunt For Red October;1990-04-20 00:00:00.000;1
173;Ghost Busters;1984-12-07 00:00:00.000;0
174;Star Trek V: The Final Frontier;1989-10-20 00:00:00.000;0
175;Indiana Jones and the Temple of Doom;1984-06-15 00:00:00.000;1
176;Blade Runner;1982-09-09 00:00:00.000;0
177;Die Hard;1989-02-03 00:00:00.000;0
178;For Your Eyes Only;1981-06-26 00:00:00.000;0
179;Octopussy;1983-06-10 00:00:00.000;0
